Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Apr-17,01:38,98,20,8.5,1
01-Apr-17,09:54,594,20,8,1
01-Apr-17,15:54,954,20,5.5,1
01-Apr-17,23:54,1434,20,9.2,1
02-Apr-17,11:52,712,20,11,2
02-Apr-17,23:52,1432,20,11,2
03-Apr-17,08:37,517,20,12.5,3
03-Apr-17,17:43,1063,20,8.3,3
03-Apr-17,21:45,1305,20,8.7,3
04-Apr-17,07:25,445,20,10,4
04-Apr-17,15:49,949,20,8.8,4
05-Apr-17,07:54,474,20,7.8,5
05-Apr-17,13:54,834,20,5.5,5
05-Apr-17,21:37,1297,20,7.5,5
06-Apr-17,10:17,617,20,10.5,6
06-Apr-17,22:17,1337,20,10.5,6
07-Apr-17,06:57,417,20,10,7
08-Apr-17,09:43,583,20,12.5,8
08-Apr-17,15:21,921,20,4.2,8
08-Apr-17,23:03,1383,20,8,8
09-Apr-17,09:29,569,20,10.5,9
09-Apr-17,14:42,882,20,5.3,9
09-Apr-17,21:31,1291,20,7.5,9
10-Apr-17,08:00,480,20,9.5,10
10-Apr-17,12:00,720,20,7.5,10
10-Apr-17,22:00,1320,20,9,10
11-Apr-17,08:32,512,20,8.5,11
11-Apr-17,14:32,872,20,7,11
11-Apr-17,21:17,1277,20,8,11
12-Apr-17,08:44,524,20,11,12
12-Apr-17,14:44,884,20,7.3,12
12-Apr-17,21:53,1313,20,8,12
13-Apr-17,09:57,597,20,11,13
13-Apr-17,14:58,898,20,7.5,13
13-Apr-17,21:58,1318,20,8,13
14-Apr-17,09:43,583,20,12.9,14
14-Apr-17,16:07,967,20,8.7,15
15-Apr-17,09:17,557,20,10.5,15
15-Apr-17,14:02,842,20,8.5,15
15-Apr-17,23:02,1382,20,6.5,15
16-Apr-17,08:49,529,20,10,16
16-Apr-17,14:49,889,20,7.5,16
16-Apr-17,21:56,1316,20,9.5,16
17-Apr-17,09:28,568,20,11,17
17-Apr-17,16:13,973,20,7.2,17
17-Apr-17,21:40,1300,20,6,17
18-Apr-17,06:01,361,20,7,18
18-Apr-17,22:01,1321,20,17,18
19-Apr-17,07:58,478,20,10.5,19
19-Apr-17,17:59,1079,20,8.3,19
19-Apr-17,21:20,1280,20,7.7,19
20-Apr-17,07:35,455,20,10,20
20-Apr-17,15:36,936,20,8.8,20
21-Apr-17,07:54,474,20,8.3,21
21-Apr-17,13:54,834,20,5.5,21
21-Apr-17,21:54,1314,20,8.5,21
22-Apr-17,07:31,451,20,10,22
22-Apr-17,15:19,919,20,8.5,22
23-Apr-17,07:11,431,20,9.5,23
23-Apr-17,15:12,912,20,9,23
23-Apr-17,21:57,1317,20,6.5,23
24-Apr-17,07:40,460,20,11.5,24
24-Apr-17,14:43,883,20,8,24
24-Apr-17,21:43,1303,20,7,24
25-Apr-17,08:13,493,20,7.5,25
25-Apr-17,14:13,853,20,8.5,25
25-Apr-17,22:20,1340,20,7.2,25
26-Apr-17,08:48,528,80,11.4,26
26-Apr-17,14:42,882,80,5.4,26
26-Apr-17,21:56,1316,80,7.8,26
27-Apr-17,07:42,462,20,9,27
27-Apr-17,13:44,824,20,8.5,27
27-Apr-17,21:46,1306,20,9,27
28-Apr-17,09:47,587,80,12,28
28-Apr-17,14:37,877,80,6.7,28
28-Apr-17,21:52,1312,80,8.3,28
29-Apr-17,08:18,498,20,9.5,29
29-Apr-17,20:40,1240,20,12,29
30-Apr-17,07:15,435,20,12.5,30
30-Apr-17,14:14,854,20,7,30
30-Apr-17,21:46,1306,20,6.5,30
