Date,Time,Time (min),Duration (min),Amount (oz),Day
01-Aug-16,4:17,257,15,0.6,1
01-Aug-16,7:40,460,15,0.9,1
01-Aug-16,9:28,568,15,1.1,1
01-Aug-16,11:30,690,15,2,1
01-Aug-16,15:31,931,20,1.9,1
01-Aug-16,17:45,1065,20,1.7,1
01-Aug-16,20:16,1216,20,1.6,1
01-Aug-16,22:28,1348,15,1,1
02-Aug-16,0:46,46,15,0.9,2
02-Aug-16,4:25,265,8,1.5,2
02-Aug-16,7:49,469,15,0.9,2
02-Aug-16,9:31,571,15,0.8,2
02-Aug-16,11:30,690,23,0.8,2
02-Aug-16,15:40,940,20,1.3,2
02-Aug-16,18:05,1085,20,1.3,2
02-Aug-16,20:00,1200,20,1.4,2
02-Aug-16,22:02,1322,20,1.4,2
02-Aug-16,23:54,1434,20,1.1,2
03-Aug-16,5:53,353,20,1.5,3
03-Aug-16,7:30,450,20,1.3,3
03-Aug-16,9:27,567,20,1.3,3
03-Aug-16,13:29,809,20,1.8,3
03-Aug-16,15:45,945,15,1.4,3
03-Aug-16,17:50,1070,20,1.7,3
03-Aug-16,20:10,1210,30,1.4,3
03-Aug-16,22:40,1360,20,1.7,3
04-Aug-16,3:32,212,20,2.4,4
04-Aug-16,8:14,494,20,2.2,4
04-Aug-16,11:00,660,20,2.4,4
04-Aug-16,13:29,809,20,1.8,4
04-Aug-16,16:35,995,20,2.6,4
05-Aug-16,4:13,253,20,2.5,5
05-Aug-16,8:00,480,20,1.4,5
05-Aug-16,10:20,620,40,2.9,5
05-Aug-16,12:30,750,27,2.1,5
05-Aug-16,14:38,878,20,1.8,5
05-Aug-16,16:46,1006,20,1.5,5
05-Aug-16,18:45,1125,20,1.4,5
05-Aug-16,20:59,1259,20,1.4,5
05-Aug-16,22:57,1377,20,1.3,5
06-Aug-16,4:15,255,20,3.2,6
06-Aug-16,8:04,484,20,2.6,6
06-Aug-16,10:10,610,20,2.6,6
06-Aug-16,12:15,735,20,2.6,6
06-Aug-16,14:15,855,20,1.7,6
06-Aug-16,16:14,974,20,1.3,6
06-Aug-16,18:30,1110,20,2,6
06-Aug-16,20:30,1230,20,1.4,6
07-Aug-16,1:05,65,20,2.9,7
07-Aug-16,5:50,350,25,3.3,7
07-Aug-16,8:03,483,25,2.2,7
07-Aug-16,9:51,591,10,1.4,7
07-Aug-16,12:08,728,20,1.5,7
07-Aug-16,14:30,870,20,1.7,7
07-Aug-16,17:11,1031,20,2.7,7
07-Aug-16,19:30,1170,15,2.5,7
08-Aug-16,0:33,33,15,2.5,8
08-Aug-16,4:49,289,15,3.3,8
08-Aug-16,6:59,419,15,2.2,8
08-Aug-16,8:41,521,15,1.8,8
08-Aug-16,11:58,718,20,3,8
08-Aug-16,14:05,845,20,1.7,8
08-Aug-16,18:07,1087,20,1.8,8
08-Aug-16,20:09,1209,20,1.7,8
08-Aug-16,22:18,1338,17,1.9,8
09-Aug-16,0:15,15,17,1.7,9
09-Aug-16,2:26,146,17,2,9
09-Aug-16,7:18,438,25,3.4,9
09-Aug-16,11:44,704,25,4.2,9
09-Aug-16,13:54,834,25,2.5,9
