Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Dec-16,09:37,577,20,16.2,1
01-Dec-16,12:31,751,20,4.7,1
01-Dec-16,16:52,1012,20,6,1
01-Dec-16,22:00,1320,20,3.4,1
02-Dec-16,07:26,446,20,11.4,2
02-Dec-16,12:23,743,20,5,2
02-Dec-16,17:21,1041,20,6.6,2
02-Dec-16,23:21,1401,20,7.4,2
03-Dec-16,08:12,492,20,14,3
03-Dec-16,12:24,744,20,6.1,3
03-Dec-16,19:13,1153,20,10,3
03-Dec-16,23:45,1425,20,5.6,3
04-Dec-16,08:31,511,20,10,4
04-Dec-16,12:28,748,20,6.7,4
04-Dec-16,19:27,1167,20,7.4,4
04-Dec-16,21:57,1317,20,5.4,4
05-Dec-16,07:35,455,20,12,5
05-Dec-16,13:35,815,20,7,5
05-Dec-16,17:00,1020,20,6.4,5
05-Dec-16,21:00,1260,20,6.4,5
06-Dec-16,07:49,469,20,13,6
06-Dec-16,12:30,750,20,5,6
06-Dec-16,18:17,1097,20,9,6
06-Dec-16,21:18,1278,20,4,6
07-Dec-16,08:27,507,20,14.5,7
07-Dec-16,15:00,900,20,7.5,7
07-Dec-16,21:47,1307,20,9.2,7
08-Dec-16,08:54,534,59,15,8
08-Dec-16,12:37,757,59,5,8
08-Dec-16,17:04,1024,59,4.5,8
08-Dec-16,21:30,1290,34,6,8
09-Dec-16,08:37,517,34,14,9
09-Dec-16,13:00,780,34,4.5,9
09-Dec-16,18:00,1080,34,5.5,9
09-Dec-16,23:25,1405,34,7.4,9
10-Dec-16,08:14,494,34,9.8,10
10-Dec-16,13:32,812,34,8,10
10-Dec-16,17:37,1057,34,5.5,10
10-Dec-16,22:36,1356,34,7.8,10
11-Dec-16,10:29,629,34,15.5,11
11-Dec-16,13:04,784,34,5.5,11
11-Dec-16,17:04,1024,34,4.4,11
11-Dec-16,20:55,1255,34,5.5,11
12-Dec-16,08:19,499,34,15.5,12
12-Dec-16,13:20,800,34,7,12
12-Dec-16,17:20,1040,34,4,12
12-Dec-16,21:54,1314,34,5.5,12
13-Dec-16,06:19,379,34,10.5,13
13-Dec-16,13:03,783,34,6,13
13-Dec-16,19:05,1145,34,9,13
13-Dec-16,22:00,1320,34,6,13
14-Dec-16,08:01,481,34,12.7,14
14-Dec-16,18:56,1136,34,14.5,14
14-Dec-16,21:35,1295,34,5.4,14
15-Dec-16,08:22,502,34,13.4,15
15-Dec-16,12:24,744,34,6.5,15
15-Dec-16,18:19,1099,34,6,15
15-Dec-16,21:29,1289,34,6.2,15
16-Dec-16,08:06,486,34,13.3,16
16-Dec-16,13:25,805,34,7.5,16
16-Dec-16,17:25,1045,34,7.6,16
17-Dec-16,07:00,420,34,12,17
17-Dec-16,11:05,665,34,5.4,17
17-Dec-16,17:15,1035,34,6.4,17
17-Dec-16,22:42,1362,34,6,17
18-Dec-16,01:15,75,34,10,18
18-Dec-16,10:00,600,34,11,18
18-Dec-16,13:05,785,34,5,18
18-Dec-16,18:00,1080,34,5,18
19-Dec-16,00:30,30,34,6,19
19-Dec-16,09:33,573,15,13,19
19-Dec-16,12:29,749,15,3.7,19
19-Dec-16,17:30,1050,15,7,19
19-Dec-16,22:31,1351,15,7,19
20-Dec-16,09:45,585,15,11.7,20
20-Dec-16,14:12,852,15,7.4,20
20-Dec-16,18:03,1083,15,5.7,20
20-Dec-16,22:22,1342,15,6,20
21-Dec-16,08:43,523,15,12,21
21-Dec-16,14:00,840,15,6.5,21
21-Dec-16,18:44,1124,15,5,21
21-Dec-16,21:00,1260,15,5.4,21
22-Dec-16,09:10,550,15,15.5,22
22-Dec-16,12:53,773,15,6.3,22
22-Dec-16,17:28,1048,15,7,22
22-Dec-16,23:28,1408,15,4,22
23-Dec-16,08:43,523,15,12,23
23-Dec-16,18:43,1123,15,14,23
23-Dec-16,22:43,1363,15,6,23
24-Dec-16,09:37,577,15,10,24
24-Dec-16,12:34,754,15,7.6,24
24-Dec-16,17:39,1059,15,8.3,24
25-Dec-16,09:22,562,15,14,25
25-Dec-16,14:23,863,15,7,25
25-Dec-16,18:20,1100,15,5,25
25-Dec-16,23:48,1428,15,8,25
26-Dec-16,08:47,527,15,13.2,26
26-Dec-16,12:00,720,15,4.4,26
26-Dec-16,17:00,1020,15,5.2,26
26-Dec-16,22:03,1323,15,6.4,26
27-Dec-16,10:14,614,15,12,27
27-Dec-16,12:58,778,15,5.5,27
27-Dec-16,17:59,1079,15,6,27
27-Dec-16,21:59,1319,15,6,27
28-Dec-16,00:50,50,24,3.7,28
28-Dec-16,09:22,562,84,12,28
28-Dec-16,13:22,802,84,6,28
28-Dec-16,22:21,1341,84,10.5,28
29-Dec-16,09:15,555,84,15,29
29-Dec-16,18:16,1096,23,10.5,29
30-Dec-16,00:10,10,23,7,30
30-Dec-16,10:48,648,23,13.5,30
30-Dec-16,14:00,840,20,5,30
31-Dec-16,11:14,674,20,28.3,31
