Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Feb-17,07:30,450,80,11,1
01-Feb-17,15:33,933,80,8,1
01-Feb-17,21:33,1293,80,9,1
02-Feb-17,07:53,473,80,12,2
02-Feb-17,14:40,880,80,10,2
02-Feb-17,20:40,1240,80,7,2
03-Feb-17,07:17,437,80,12.2,3
03-Feb-17,13:20,800,80,7.7,3
03-Feb-17,18:26,1106,80,7.4,3
03-Feb-17,22:08,1328,80,6,3
04-Feb-17,00:00,0,80,11,4
04-Feb-17,15:00,900,80,9,4
04-Feb-17,23:00,1380,80,10,4
05-Feb-17,09:03,543,80,10,5
05-Feb-17,15:25,925,80,8.8,5
05-Feb-17,20:15,1215,80,6,5
06-Feb-17,07:55,475,80,15,6
06-Feb-17,15:23,923,80,8,6
06-Feb-17,20:22,1222,80,7.2,6
07-Feb-17,00:00,0,80,8.5,7
07-Feb-17,08:00,480,80,11,7
07-Feb-17,20:00,1200,80,8,7
08-Feb-17,08:17,497,80,12,8
08-Feb-17,15:51,951,80,11,8
08-Feb-17,19:51,1191,80,6,8
09-Feb-17,08:21,501,80,11,9
09-Feb-17,15:21,921,80,13,9
09-Feb-17,20:20,1220,80,6.8,9
10-Feb-17,07:28,448,80,13.5,10
10-Feb-17,13:27,807,80,7.6,10
10-Feb-17,20:31,1231,80,8.6,10
11-Feb-17,09:51,591,80,12.3,11
11-Feb-17,14:46,886,80,7.5,11
11-Feb-17,20:15,1215,80,9.8,11
12-Feb-17,08:40,520,80,10.8,12
12-Feb-17,14:38,878,80,9.5,12
12-Feb-17,21:44,1304,80,8.4,12
13-Feb-17,07:46,466,80,12.7,13
13-Feb-17,15:58,958,80,10,13
13-Feb-17,20:18,1218,80,6.3,13
14-Feb-17,08:26,506,80,10.5,14
14-Feb-17,14:26,866,80,8,14
14-Feb-17,20:25,1225,80,7.8,14
15-Feb-17,07:50,470,80,12,15
15-Feb-17,14:49,889,80,9.4,15
15-Feb-17,20:14,1214,80,7,15
16-Feb-17,12:51,771,80,12,16
16-Feb-17,14:24,864,80,8,16
16-Feb-17,20:24,1224,80,9.5,16
17-Feb-17,08:54,534,80,10,17
17-Feb-17,14:54,894,80,9.5,17
17-Feb-17,21:54,1314,80,8,17
18-Feb-17,09:41,581,80,11.5,18
18-Feb-17,15:40,940,80,9.5,18
18-Feb-17,21:40,1300,80,8.5,18
19-Feb-17,09:12,552,80,12,19
19-Feb-17,16:12,972,80,8.3,19
19-Feb-17,20:41,1241,80,7.5,19
20-Feb-17,09:02,542,80,9.5,20
20-Feb-17,16:02,962,80,10,20
20-Feb-17,21:02,1262,80,8,20
21-Feb-17,09:18,558,80,11.3,21
21-Feb-17,17:32,1052,80,7.4,21
21-Feb-17,21:17,1277,80,8.6,21
22-Feb-17,08:08,488,80,12.5,22
22-Feb-17,16:08,968,80,7.6,22
22-Feb-17,20:25,1225,80,7.3,22
23-Feb-17,08:30,510,80,11.3,23
23-Feb-17,14:30,870,80,7,23
23-Feb-17,20:30,1230,80,7.8,23
24-Feb-17,08:23,503,80,11,24
24-Feb-17,14:23,863,80,8,24
24-Feb-17,20:23,1223,80,8,24
25-Feb-17,00:00,0,80,10,25
25-Feb-17,08:46,526,80,12,25
25-Feb-17,21:00,1260,80,8.5,25
26-Feb-17,08:52,532,80,11,26
26-Feb-17,16:53,1013,80,9.5,26
26-Feb-17,20:51,1251,80,6.5,26
27-Feb-17,08:00,480,80,10,27
27-Feb-17,12:00,720,80,10.5,27
27-Feb-17,21:00,1260,80,7.5,27
28-Feb-17,08:03,483,80,12.9,28
28-Feb-17,17:40,1060,80,8.6,28
