Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Jan-17,10:00,600,34,14.2,1
01-Jan-17,13:30,810,34,5,1
01-Jan-17,18:31,1111,34,6.5,1
01-Jan-17,21:33,1293,34,4.8,1
02-Jan-17,08:56,536,34,13.2,2
02-Jan-17,12:47,767,34,6,2
02-Jan-17,17:15,1035,34,6,2
02-Jan-17,20:50,1250,34,5,2
03-Jan-17,07:17,437,34,12.2,3
03-Jan-17,12:31,751,34,7.7,3
03-Jan-17,18:26,1106,34,7.1,3
03-Jan-17,22:08,1328,20,6,3
04-Jan-17,08:45,525,20,12,4
04-Jan-17,14:05,845,20,6,4
04-Jan-17,18:00,1080,20,6.3,4
04-Jan-17,21:00,1260,20,4,4
05-Jan-17,09:23,563,20,13.8,5
05-Jan-17,13:30,810,20,4.5,5
05-Jan-17,18:31,1111,20,7.1,5
05-Jan-17,22:16,1336,20,5,5
06-Jan-17,08:45,525,30,12.2,6
06-Jan-17,12:28,748,30,4.4,6
06-Jan-17,18:28,1108,30,6.2,6
07-Jan-17,09:35,575,30,13.5,7
07-Jan-17,12:35,755,30,5.5,7
07-Jan-17,17:58,1078,30,6.8,7
07-Jan-17,22:57,1377,30,6,7
08-Jan-17,09:35,575,30,13.2,8
08-Jan-17,13:10,790,30,5,8
08-Jan-17,17:54,1074,30,6,8
08-Jan-17,21:00,1260,30,5.3,8
09-Jan-17,07:05,425,30,10.5,9
09-Jan-17,11:36,696,30,6.5,9
09-Jan-17,14:40,880,30,4,9
09-Jan-17,22:15,1335,30,8.3,9
10-Jan-17,07:43,463,30,13,10
10-Jan-17,11:06,666,30,5,10
10-Jan-17,15:03,903,43,5,10
10-Jan-17,18:00,1080,43,4,10
10-Jan-17,21:03,1263,43,5,10
11-Jan-17,07:18,438,43,14,11
11-Jan-17,16:17,977,17,7,11
11-Jan-17,17:17,1037,43,5,11
11-Jan-17,21:00,1260,43,6,11
12-Jan-17,07:29,449,43,14,12
12-Jan-17,13:29,809,43,8.7,12
12-Jan-17,17:42,1062,43,6.7,12
12-Jan-17,20:58,1258,43,5.4,12
13-Jan-17,07:57,477,20,13.5,13
13-Jan-17,12:57,777,20,7.3,13
13-Jan-17,18:32,1112,20,6,13
13-Jan-17,21:32,1292,20,5.5,13
14-Jan-17,10:10,610,20,15.1,14
14-Jan-17,13:44,824,20,5.3,14
14-Jan-17,18:11,1091,20,6.7,14
14-Jan-17,21:29,1289,20,5,14
15-Jan-17,08:33,513,20,13,15
15-Jan-17,14:21,861,20,8,15
15-Jan-17,21:45,1305,20,9.2,15
16-Jan-17,07:24,444,80,12.5,16
16-Jan-17,12:28,748,80,7.2,16
16-Jan-17,16:29,989,80,7.5,16
16-Jan-17,22:00,1320,80,6,16
17-Jan-17,08:05,485,80,13.5,17
17-Jan-17,12:00,720,80,7,17
17-Jan-17,18:06,1086,80,6,17
17-Jan-17,22:06,1326,80,6,17
18-Jan-17,07:49,469,80,14,18
18-Jan-17,13:49,829,80,5,18
18-Jan-17,19:49,1189,80,8.3,18
18-Jan-17,22:00,1320,80,5.7,18
19-Jan-17,08:17,497,80,14,19
19-Jan-17,13:17,797,80,7,19
19-Jan-17,17:00,1020,80,6,19
19-Jan-17,21:00,1260,80,6,19
20-Jan-17,07:53,473,80,12.5,20
20-Jan-17,13:03,783,80,5.7,20
20-Jan-17,18:03,1083,80,5.7,20
21-Jan-17,09:18,558,80,11.3,21
21-Jan-17,17:32,1052,80,6.7,21
21-Jan-17,21:17,1277,80,8.6,21
22-Jan-17,08:08,488,80,12.5,22
22-Jan-17,16:08,968,80,7.4,22
22-Jan-17,20:25,1225,80,7.3,22
23-Jan-17,08:37,517,80,13,23
23-Jan-17,12:37,757,80,5.7,23
23-Jan-17,16:37,997,80,6,23
23-Jan-17,22:00,1320,80,6,23
24-Jan-17,08:29,509,80,13,24
24-Jan-17,12:29,749,80,5,24
24-Jan-17,20:29,1229,80,8.5,24
25-Jan-17,07:01,421,80,12,25
25-Jan-17,13:01,781,80,5,25
25-Jan-17,18:02,1082,80,8.7,25
25-Jan-17,21:00,1260,80,5,25
26-Jan-17,08:23,503,80,14.5,26
26-Jan-17,14:24,864,80,7.7,26
26-Jan-17,20:09,1209,80,7.4,26
27-Jan-17,08:36,516,80,14.8,27
27-Jan-17,13:37,817,80,5.7,27
27-Jan-17,18:45,1125,80,7.5,27
27-Jan-17,20:15,1215,80,2.7,27
28-Jan-17,09:35,575,80,13.5,28
28-Jan-17,16:34,994,80,7.5,28
28-Jan-17,21:34,1294,80,8,28
29-Jan-17,08:17,497,80,11.8,29
29-Jan-17,14:46,886,80,7.7,29
29-Jan-17,20:45,1245,80,9,29
30-Jan-17,08:37,517,80,10,30
30-Jan-17,16:36,996,80,5.5,30
30-Jan-17,20:36,1236,80,11.3,30
31-Jan-17,08:01,481,80,12,31
31-Jan-17,15:05,905,80,8,31
31-Jan-17,21:05,1265,80,9.4,31
