Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Jul-17,00:00,0,20,8,1
01-Jul-17,12:00,720,20,10,1
02-Jul-17,00:00,0,20,8,2
02-Jul-17,12:00,720,20,10,2
03-Jul-17,00:00,0,20,8,3
03-Jul-17,12:00,720,20,8,3
04-Jul-17,00:00,0,20,8,4
04-Jul-17,21:00,1260,20,10,4
05-Jul-17,00:00,0,20,10,5
06-Jul-17,08:00,480,20,13,6
06-Jul-17,21:00,1260,20,10,6
07-Jul-17,09:36,576,20,5,7
07-Jul-17,21:35,1295,20,8,7
08-Jul-17,09:17,557,20,5.5,8
08-Jul-17,21:17,1277,20,8,8
09-Jul-17,08:38,518,20,7,9
09-Jul-17,22:08,1328,20,8,9
10-Jul-17,08:32,512,80,7.5,10
10-Jul-17,21:31,1291,20,7.5,10
11-Jul-17,08:00,480,20,5.5,11
11-Jul-17,20:00,1200,20,7.5,11
12-Jul-17,09:30,570,20,7.5,12
12-Jul-17,21:30,1290,20,8,12
13-Jul-17,08:37,517,20,8,13
13-Jul-17,21:39,1299,20,7.3,13
14-Jul-17,10:01,601,20,7.5,14
14-Jul-17,22:01,1321,20,7.5,14
15-Jul-17,08:27,507,20,7,15
15-Jul-17,23:28,1408,20,9,15
16-Jul-17,10:05,605,20,5,16
16-Jul-17,22:05,1325,20,8,16
17-Jul-17,10:01,601,20,6,17
17-Jul-17,22:01,1321,20,8,17
18-Jul-17,10:19,619,20,7,18
18-Jul-17,22:19,1339,20,7,18
19-Jul-17,21:55,1315,20,12,19
20-Jul-17,00:00,0,20,9.5,20
21-Jul-17,22:06,1326,20,8,21
23-Jul-17,00:00,0,20,8,23
24-Jul-17,15:00,900,20,6.5,24
26-Jul-17,21:25,1285,20,7.5,26
27-Jul-17,22:08,1328,20,3.5,27
