Date,Start,Time(min),Duration (min),Amount (oz),Day
04-Jun-17,10:28,628,20,10,4
04-Jun-17,17:28,1048,20,5,4
04-Jun-17,23:28,1408,20,9.5,4
05-Jun-17,00:00,0,20,10,5
05-Jun-17,08:00,480,20,10,5
06-Jun-17,08:29,509,20,10,6
06-Jun-17,16:30,990,20,8,6
06-Jun-17,22:30,1350,20,6.5,6
07-Jun-17,08:59,539,20,10,7
07-Jun-17,15:33,933,20,6.5,7
07-Jun-17,21:33,1293,20,6.5,7
08-Jun-17,08:00,480,20,9.5,8
08-Jun-17,15:17,917,20,6.5,8
08-Jun-17,20:00,1200,20,8,8
09-Jun-17,06:56,416,20,8,9
09-Jun-17,14:55,895,20,8,9
10-Jun-17,10:06,606,20,11.6,10
10-Jun-17,22:06,1326,20,11.6,10
12-Jun-17,06:22,382,20,10,12
12-Jun-17,21:22,1282,20,12.4,12
13-Jun-17,08:46,526,20,11.5,13
13-Jun-17,21:45,1305,20,11.5,13
14-Jun-17,09:33,573,20,11.2,14
14-Jun-17,21:32,1292,20,10,14
15-Jun-17,07:00,420,20,12,15
15-Jun-17,20:00,1200,20,12,15
16-Jun-17,00:00,0,20,12,16
16-Jun-17,10:17,617,20,11,16
17-Jun-17,00:00,0,20,14,17
17-Jun-17,08:00,480,20,12,17
18-Jun-17,09:48,588,20,8,18
18-Jun-17,21:47,1307,20,12,18
19-Jun-17,09:44,584,20,10,19
19-Jun-17,21:44,1304,20,10,19
20-Jun-17,10:40,640,20,8,20
20-Jun-17,22:40,1360,20,12.5,20
28-Jun-17,08:29,509,20,8,28
28-Jun-17,22:29,1349,20,10,28
29-Jun-17,08:06,486,20,6,29
29-Jun-17,21:06,1266,20,10,29
30-Jun-17,08:45,525,20,8.7,30
30-Jun-17,22:03,1323,20,10,30
