Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Mar-17,07:25,445,80,13.3,1
01-Mar-17,13:51,831,80,7.5,1
01-Mar-17,20:51,1251,80,9.5,1
02-Mar-17,08:31,511,80,10.5,2
02-Mar-17,13:21,801,80,9,2
02-Mar-17,20:27,1227,80,8,2
03-Mar-17,08:54,534,80,12,3
03-Mar-17,14:54,894,80,10.5,3
04-Mar-17,07:46,466,80,14,4
04-Mar-17,21:23,1283,80,13,4
05-Mar-17,08:27,507,80,15,5
05-Mar-17,15:27,927,80,9,5
05-Mar-17,20:16,1216,80,6.3,5
06-Mar-17,08:00,480,80,10,6
06-Mar-17,15:00,900,80,10,6
06-Mar-17,21:00,1260,80,7,6
07-Mar-17,08:06,486,80,12.5,7
07-Mar-17,15:00,900,80,9,7
07-Mar-17,20:20,1220,80,8,7
08-Mar-17,08:39,519,80,12,8
08-Mar-17,15:38,938,80,10,8
08-Mar-17,20:38,1238,80,7.3,8
09-Mar-17,08:22,502,80,12.9,9
09-Mar-17,13:42,822,80,8,9
10-Mar-17,08:31,511,80,12.3,10
10-Mar-17,20:31,1231,80,13.9,10
11-Mar-17,08:34,514,80,11.5,11
11-Mar-17,15:33,933,80,9,11
11-Mar-17,21:33,1293,80,9,11
12-Mar-17,08:36,516,80,11.5,12
12-Mar-17,15:37,937,80,9,12
12-Mar-17,20:37,1237,80,6.8,12
13-Mar-17,08:20,500,80,11.5,13
13-Mar-17,16:16,976,80,10.5,13
13-Mar-17,20:01,1201,80,6.4,13
14-Mar-17,08:00,480,80,11,14
14-Mar-17,12:00,720,80,11,14
14-Mar-17,21:00,1260,80,7,14
15-Mar-17,00:00,0,80,9,15
15-Mar-17,08:22,502,80,12.9,15
15-Mar-17,13:42,822,80,7.5,15
16-Mar-17,08:31,511,80,11.5,16
16-Mar-17,20:31,1231,80,14,16
17-Mar-17,06:36,396,80,12.5,17
17-Mar-17,21:14,1274,80,16.8,17
18-Mar-17,09:09,549,80,15.5,18
18-Mar-17,21:18,1278,80,14,18
19-Mar-17,09:01,541,80,11,19
19-Mar-17,21:01,1261,80,15,19
20-Mar-17,00:00,0,1,15,20
20-Mar-17,07:26,446,80,11.2,20
21-Mar-17,00:00,0,20,17.5,21
21-Mar-17,12:00,720,1,9.5,21
22-Mar-17,09:15,555,1,11,22
22-Mar-17,15:15,915,1,8.5,22
22-Mar-17,21:34,1294,1,7.5,22
23-Mar-17,09:43,583,1,12.5,23
23-Mar-17,21:42,1302,1,14.8,23
24-Mar-17,08:00,480,1,11.5,24
24-Mar-17,20:00,1200,1,14.5,24
25-Mar-17,10:19,619,1,14.3,25
25-Mar-17,15:00,900,1,7,25
25-Mar-17,23:00,1380,1,10,25
26-Mar-17,09:25,565,1,10,26
26-Mar-17,21:25,1285,1,13.5,26
27-Mar-17,07:46,466,1,11.4,27
27-Mar-17,15:55,955,1,7.7,27
28-Mar-17,08:36,516,1,10,28
28-Mar-17,22:08,1328,1,14.7,28
29-Mar-17,13:16,796,1,15,29
30-Mar-17,01:16,76,1,12,30
30-Mar-17,12:03,723,1,10,30
31-Mar-17,09:39,579,20,7,31
31-Mar-17,16:56,1016,1,13.5,31
