Date,Start,Time(min),Duration (min),Amount (oz),Day
01-May-17,10:21,621,20,12,1
01-May-17,14:22,862,20,8,1
01-May-17,22:22,1342,20,7,1
03-May-17,08:29,509,80,9,3
03-May-17,14:30,870,80,7.8,3
03-May-17,20:59,1259,80,10,3
04-May-17,08:46,526,80,10,4
04-May-17,14:46,886,80,6.5,4
04-May-17,21:08,1268,80,7,4
05-May-17,10:12,612,80,10,5
05-May-17,15:12,912,80,6,5
05-May-17,22:13,1333,80,8,5
06-May-17,08:38,518,80,10.5,6
06-May-17,14:38,878,80,5,6
06-May-17,21:23,1283,80,8.5,6
07-May-17,09:56,596,80,9.5,7
07-May-17,14:56,896,80,8.5,7
07-May-17,20:13,1213,80,5,7
08-May-17,08:24,504,80,11,8
08-May-17,15:24,924,80,6,8
08-May-17,20:25,1225,80,6.5,8
09-May-17,08:37,517,80,9,9
09-May-17,14:36,876,80,8,9
09-May-17,20:36,1236,80,8.5,9
10-May-17,08:00,480,80,12,10
10-May-17,13:59,839,80,7,10
10-May-17,21:05,1265,80,6.4,10
11-May-17,09:59,599,80,9.4,11
11-May-17,21:59,1319,80,15,11
12-May-17,09:49,589,80,11,12
12-May-17,14:49,889,80,6,12
12-May-17,21:09,1269,80,7,12
14-May-17,08:20,500,80,11.5,14
14-May-17,11:20,680,80,4.4,14
14-May-17,20:20,1220,80,8.7,14
24-May-17,10:07,607,80,8.7,24
24-May-17,14:07,847,80,9,24
24-May-17,22:07,1327,80,8,24
25-May-17,00:00,0,80,9,25
25-May-17,14:00,840,1,8,25
25-May-17,21:00,1260,1,8,25
26-May-17,08:48,528,80,11,26
26-May-17,14:42,882,80,4.4,26
26-May-17,20:43,1243,80,7.8,26
28-May-17,09:47,587,80,12,28
28-May-17,14:48,888,80,6,28
28-May-17,21:48,1308,80,8,28
29-May-17,09:02,542,80,5.5,29
29-May-17,14:02,842,80,7.5,29
29-May-17,21:02,1262,80,9.3,29
30-May-17,00:00,0,20,6,30
30-May-17,08:00,480,20,12,30
30-May-17,14:59,899,80,7.1,30
31-May-17,08:38,518,20,11,31
31-May-17,14:39,879,20,5,31
31-May-17,21:39,1299,20,7,31
