Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Nov-16,08:30,510,40,13.9,1
01-Nov-16,12:00,720,80,4.4,1
01-Nov-16,15:30,930,20,5,1
01-Nov-16,19:04,1144,20,4,1
01-Nov-16,21:01,1261,20,3.4,1
02-Nov-16,08:30,510,20,12.3,2
02-Nov-16,13:30,810,34,6.1,2
02-Nov-16,18:26,1106,14,6.3,2
02-Nov-16,21:41,1301,14,4.7,2
03-Nov-16,08:15,495,20,13.2,3
03-Nov-16,12:30,750,20,4.4,3
03-Nov-16,18:24,1104,21,6.6,3
03-Nov-16,22:00,1320,60,4.9,3
04-Nov-16,06:35,395,20,10,4
04-Nov-16,11:36,696,20,6.4,4
04-Nov-16,18:36,1116,20,6.1,4
04-Nov-16,22:14,1334,20,6,4
05-Nov-16,08:00,480,69,13.9,5
05-Nov-16,12:30,750,10,4.3,5
05-Nov-16,17:11,1031,10,4.8,5
05-Nov-16,23:45,1425,14,8,5
06-Nov-16,07:20,440,74,12.5,6
06-Nov-16,12:47,767,23,6,6
06-Nov-16,16:30,990,23,5.1,6
07-Nov-16,08:09,489,38,15.5,7
07-Nov-16,13:00,780,38,6.5,7
07-Nov-16,17:09,1029,38,6,7
07-Nov-16,21:09,1269,38,6.4,7
08-Nov-16,07:31,451,38,12,8
08-Nov-16,10:37,637,13,4,8
08-Nov-16,15:30,930,13,4.4,8
08-Nov-16,19:22,1162,13,5.9,8
08-Nov-16,23:00,1380,20,4.4,8
09-Nov-16,00:42,42,80,4.8,9
10-Nov-16,09:30,570,20,14.2,10
10-Nov-16,15:18,918,20,6.4,10
10-Nov-16,20:19,1219,20,6.4,10
11-Nov-16,04:27,267,20,9.8,11
11-Nov-16,08:45,525,43,6.4,11
11-Nov-16,13:48,828,20,4.9,11
11-Nov-16,19:22,1162,20,6,11
11-Nov-16,22:27,1347,20,4,11
12-Nov-16,09:00,540,42,13.5,12
12-Nov-16,13:30,810,42,6,12
12-Nov-16,18:00,1080,20,5,12
12-Nov-16,21:04,1264,20,3.7,12
13-Nov-16,06:30,390,30,11.5,13
13-Nov-16,11:30,690,30,6,13
13-Nov-16,16:50,1010,30,7,13
13-Nov-16,21:32,1292,30,6,13
14-Nov-16,08:00,480,30,13.2,14
14-Nov-16,13:06,786,40,7.9,14
14-Nov-16,16:30,990,40,4.7,14
14-Nov-16,21:27,1287,40,6.1,14
15-Nov-16,08:07,487,40,10.8,15
15-Nov-16,15:00,900,20,10.5,15
15-Nov-16,18:30,1110,40,5.1,15
15-Nov-16,21:36,1296,20,4,15
16-Nov-16,06:21,381,20,10.8,16
16-Nov-16,17:04,1024,20,7,16
16-Nov-16,20:50,1250,20,6.8,16
16-Nov-16,23:40,1420,24,5.1,16
17-Nov-16,07:00,420,24,12,17
17-Nov-16,11:05,665,20,4,17
17-Nov-16,17:00,1020,20,6.4,17
17-Nov-16,22:42,1362,20,6,17
18-Nov-16,09:18,558,20,12.5,18
18-Nov-16,13:15,795,15,7,18
18-Nov-16,17:22,1042,29,6,18
18-Nov-16,22:00,1320,30,5.7,18
19-Nov-16,08:58,538,22,13.3,19
19-Nov-16,13:00,780,45,6.6,19
19-Nov-16,17:15,1035,17,5.5,19
19-Nov-16,22:29,1349,61,7,19
20-Nov-16,10:04,604,61,14,20
20-Nov-16,13:00,780,61,5,20
20-Nov-16,17:13,1033,61,6,20
20-Nov-16,21:50,1310,61,5.6,20
22-Nov-16,08:00,480,61,14.6,22
22-Nov-16,13:42,822,61,8.4,22
22-Nov-16,21:00,1260,61,8,22
24-Nov-16,05:37,337,61,10,24
24-Nov-16,12:34,754,61,7.6,24
24-Nov-16,17:39,1059,61,8.3,24
25-Nov-16,09:00,540,61,14,25
25-Nov-16,12:32,752,36,2,25
25-Nov-16,14:30,870,96,5,25
25-Nov-16,20:28,1228,96,8.8,25
26-Nov-16,08:47,527,96,13.2,26
26-Nov-16,12:00,720,20,4.4,26
26-Nov-16,17:00,1020,20,5.2,26
26-Nov-16,22:03,1323,20,6.4,26
27-Nov-16,10:00,600,118,15,27
27-Nov-16,15:48,948,58,8,27
27-Nov-16,22:15,1335,31,8.8,27
28-Nov-16,08:00,480,20,11.2,28
28-Nov-16,10:59,659,20,5.1,28
28-Nov-16,17:48,1068,20,5,28
28-Nov-16,21:48,1308,20,8,28
29-Nov-16,07:28,448,20,11,29
29-Nov-16,14:09,849,20,9,29
29-Nov-16,18:02,1082,20,8,29
29-Nov-16,22:03,1323,20,4.5,29
30-Nov-16,08:06,486,20,13,30
30-Nov-16,12:20,740,20,4.8,30
30-Nov-16,18:09,1089,20,8.8,30
30-Nov-16,21:55,1315,20,4.6,30
