Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Oct-16,03:36,216,20,6.8,1
01-Oct-16,09:20,560,20,7.9,1
01-Oct-16,15:02,902,20,6.4,1
01-Oct-16,17:21,1041,20,3.6,1
01-Oct-16,20:10,1210,20,3.7,1
01-Oct-16,22:52,1372,20,3.2,1
02-Oct-16,04:30,270,20,6.4,2
02-Oct-16,09:00,540,20,6.1,2
02-Oct-16,12:01,721,30,3.2,2
02-Oct-16,15:00,900,30,3.9,2
02-Oct-16,17:35,1055,30,3,2
02-Oct-16,21:00,1260,30,4.1,2
03-Oct-16,03:54,234,30,7.1,3
03-Oct-16,08:17,497,30,6.3,3
03-Oct-16,12:36,756,30,5.9,3
03-Oct-16,15:51,951,30,4.9,3
03-Oct-16,18:56,1136,30,4.2,3
03-Oct-16,21:35,1295,30,3.2,3
04-Oct-16,06:47,407,15,9.5,4
04-Oct-16,09:30,570,15,4.1,4
04-Oct-16,14:00,840,15,4.1,4
04-Oct-16,17:00,1020,15,4.1,4
04-Oct-16,19:22,1162,15,3.4,4
04-Oct-16,22:12,1332,15,2.7,4
05-Oct-16,14:10,850,15,4.1,5
05-Oct-16,15:30,930,15,3,5
05-Oct-16,15:45,945,15,7.1,5
05-Oct-16,18:30,1110,15,3.7,5
05-Oct-16,19:46,1186,15,4.1,5
05-Oct-16,21:16,1276,15,3.3,5
06-Oct-16,07:20,440,15,9.5,6
06-Oct-16,10:03,603,20,4.9,6
06-Oct-16,14:11,851,20,5.2,6
06-Oct-16,17:30,1050,20,4.1,6
06-Oct-16,20:40,1240,20,3.7,6
07-Oct-16,07:24,444,20,12.3,7
07-Oct-16,10:25,625,20,4.7,7
07-Oct-16,13:35,815,20,3.6,7
07-Oct-16,17:15,1035,20,4.6,7
07-Oct-16,20:53,1253,20,4.8,7
08-Oct-16,03:12,192,20,7.4,8
08-Oct-16,10:18,618,20,7.4,8
08-Oct-16,14:05,845,31,9.6,8
08-Oct-16,18:07,1087,31,5.2,8
08-Oct-16,22:08,1328,31,3.7,8
09-Oct-16,08:28,508,31,12.8,9
09-Oct-16,12:53,773,31,5.7,9
09-Oct-16,15:23,923,31,2.4,9
09-Oct-16,19:13,1153,31,4.7,9
09-Oct-16,21:58,1318,31,3,9
10-Oct-16,05:03,303,31,9.5,10
10-Oct-16,09:30,570,31,4.7,10
10-Oct-16,14:03,843,31,5.4,10
10-Oct-16,16:31,991,31,4,10
10-Oct-16,21:11,1271,31,5.7,10
11-Oct-16,05:27,327,31,7.8,11
11-Oct-16,09:00,540,22,6.1,11
11-Oct-16,13:20,800,22,4.7,11
11-Oct-16,16:20,980,22,4.1,11
11-Oct-16,21:08,1268,22,6.1,11
12-Oct-16,05:24,324,22,9.5,12
12-Oct-16,09:30,570,22,6.1,12
12-Oct-16,12:45,765,22,4.7,12
12-Oct-16,15:43,943,22,3.7,12
12-Oct-16,18:50,1130,22,3.6,12
12-Oct-16,22:32,1352,22,3.2,12
13-Oct-16,06:14,374,22,7.9,13
13-Oct-16,09:32,572,22,6.1,13
13-Oct-16,15:59,959,22,8.1,13
13-Oct-16,21:41,1301,22,3.6,13
14-Oct-16,07:48,468,20,10.8,14
14-Oct-16,15:20,920,20,6.3,14
14-Oct-16,16:08,968,20,4.7,14
14-Oct-16,17:42,1062,20,2.7,14
14-Oct-16,21:08,1268,20,4.4,14
15-Oct-16,07:10,430,21,10.7,15
15-Oct-16,10:27,627,42,4.7,15
15-Oct-16,12:47,767,21,1.8,15
15-Oct-16,16:37,997,21,5.4,15
15-Oct-16,19:30,1170,42,3,15
16-Oct-16,07:17,437,42,12.5,16
16-Oct-16,11:18,678,42,5.1,16
16-Oct-16,15:10,910,10,3.7,16
16-Oct-16,16:25,985,49,2.7,16
16-Oct-16,19:00,1140,38,3.6,16
16-Oct-16,21:44,1304,38,3.6,16
17-Oct-16,05:37,337,22,6.9,17
17-Oct-16,08:20,500,15,4.2,17
17-Oct-16,11:00,660,15,4.1,17
17-Oct-16,14:00,840,15,3.9,17
17-Oct-16,16:35,995,15,3.7,17
17-Oct-16,21:17,1277,15,3,17
17-Oct-16,22:58,1378,15,3.4,17
18-Oct-16,07:35,455,20,10.1,18
18-Oct-16,11:45,705,20,5.1,18
18-Oct-16,15:05,905,114,3.6,18
18-Oct-16,18:40,1120,11,3.7,18
19-Oct-16,07:35,455,15,11,19
19-Oct-16,09:35,575,15,3,19
19-Oct-16,14:22,862,15,5.4,19
19-Oct-16,17:22,1042,15,3.9,19
19-Oct-16,20:12,1212,15,3,19
19-Oct-16,22:24,1344,15,2.9,19
20-Oct-16,06:15,375,22,10.1,20
20-Oct-16,08:45,525,22,3.7,20
20-Oct-16,13:00,780,22,5.1,20
20-Oct-16,16:58,1018,22,4.4,20
20-Oct-16,21:57,1317,22,4.4,20
21-Oct-16,07:20,440,22,12.2,21
21-Oct-16,11:00,660,22,4.7,21
21-Oct-16,15:00,900,22,4.7,21
21-Oct-16,18:34,1114,22,4.4,21
21-Oct-16,21:59,1319,22,4.1,21
22-Oct-16,07:01,421,22,9.5,22
22-Oct-16,10:15,615,22,4.7,22
22-Oct-16,17:06,1026,22,5.1,22
22-Oct-16,20:34,1234,22,4.4,22
22-Oct-16,23:30,1410,22,4.4,22
23-Oct-16,07:00,420,22,8.1,23
23-Oct-16,09:42,582,82,4.1,23
23-Oct-16,13:00,780,22,4.4,23
23-Oct-16,15:37,937,22,3.7,23
23-Oct-16,18:21,1101,22,4.7,23
23-Oct-16,23:00,1380,87,5.2,23
24-Oct-16,09:45,585,87,12.5,24
24-Oct-16,13:18,798,87,5.4,24
24-Oct-16,16:17,977,87,5.4,24
24-Oct-16,20:49,1249,13,5.7,24
25-Oct-16,08:00,480,20,13.5,25
25-Oct-16,11:16,676,20,5,25
25-Oct-16,14:28,868,14,4,25
25-Oct-16,18:19,1099,11,4.4,25
25-Oct-16,21:45,1305,28,4.2,25
26-Oct-16,08:15,495,29,12.5,26
26-Oct-16,13:20,800,20,6.4,26
26-Oct-16,16:00,960,20,4,26
26-Oct-16,19:05,1145,20,3.7,26
26-Oct-16,21:49,1309,20,3.7,26
27-Oct-16,08:25,505,20,12.5,27
27-Oct-16,12:25,745,20,6,27
27-Oct-16,15:54,954,20,4,27
28-Oct-16,07:00,420,20,11.2,28
28-Oct-16,09:20,560,20,5.1,28
28-Oct-16,12:53,773,20,3,28
28-Oct-16,17:43,1063,20,5.4,28
28-Oct-16,21:00,1260,49,5.4,28
29-Oct-16,06:20,380,20,11,29
29-Oct-16,09:26,566,96,4,29
29-Oct-16,13:08,788,20,4,29
29-Oct-16,16:00,960,20,3,29
29-Oct-16,19:04,1144,20,3,29
30-Oct-16,00:00,0,20,10,30
30-Oct-16,02:00,120,20,6,30
30-Oct-16,06:00,360,20,8,30
30-Oct-16,13:00,780,20,6.1,30
31-Oct-16,06:59,419,20,12.3,31
31-Oct-16,09:30,570,61,4.8,31
31-Oct-16,12:20,740,37,3,31
31-Oct-16,15:30,930,37,4,31
31-Oct-16,20:37,1237,19,4,31
