Date,Start,Time(min),Duration (min),Amount (oz),Day
01-Sep-16,05:37,337,33,8.7,1
01-Sep-16,09:24,564,33,4.4,1
01-Sep-16,11:52,712,23,2.5,1
01-Sep-16,14:15,855,20,2,1
01-Sep-16,17:17,1037,20,2.4,1
01-Sep-16,20:00,1200,20,2.7,1
01-Sep-16,21:40,1300,20,2,1
02-Sep-16,05:35,335,20,3.2,2
02-Sep-16,08:08,488,20,3.7,2
02-Sep-16,12:00,720,20,2.6,2
02-Sep-16,14:31,871,20,4.1,2
02-Sep-16,17:20,1040,20,2.9,2
02-Sep-16,19:22,1162,20,0.9,2
02-Sep-16,21:57,1317,20,3,2
03-Sep-16,05:37,337,20,6,3
03-Sep-16,08:30,510,28,6.1,3
03-Sep-16,11:08,668,20,1.8,3
03-Sep-16,13:46,826,20,3.6,3
03-Sep-16,15:59,959,28,2.5,3
03-Sep-16,18:00,1080,20,2.4,3
03-Sep-16,20:34,1234,20,2.7,3
04-Sep-16,04:39,279,20,4.8,4
04-Sep-16,07:30,450,20,4.8,4
04-Sep-16,14:36,876,20,3.6,4
04-Sep-16,17:08,1028,20,3.2,4
04-Sep-16,18:55,1135,20,2.4,4
04-Sep-16,21:12,1272,20,2,4
04-Sep-16,22:53,1373,20,2,4
05-Sep-16,04:10,250,20,2,5
05-Sep-16,08:02,482,20,3,5
05-Sep-16,10:50,650,20,5.6,5
05-Sep-16,13:53,833,25,2.4,5
05-Sep-16,15:42,942,20,2.8,5
05-Sep-16,18:07,1087,20,3,5
05-Sep-16,20:50,1250,25,2.4,5
06-Sep-16,05:20,320,25,4.7,6
06-Sep-16,08:45,525,25,4.7,6
06-Sep-16,10:50,650,25,4.4,6
06-Sep-16,14:19,859,25,5.2,6
06-Sep-16,16:19,979,25,2.2,6
06-Sep-16,19:40,1180,28,2.2,6
06-Sep-16,21:50,1310,28,2.1,6
07-Sep-16,05:24,324,28,3,7
07-Sep-16,07:45,465,20,7.1,7
07-Sep-16,10:11,611,20,2.4,7
07-Sep-16,13:09,789,20,3.5,7
07-Sep-16,16:00,960,43,3,7
07-Sep-16,20:34,1234,20,1.4,7
07-Sep-16,21:55,1315,15,2.1,7
08-Sep-16,05:00,300,20,4.3,8
08-Sep-16,07:47,467,20,4.3,8
08-Sep-16,10:25,625,20,3.9,8
08-Sep-16,12:22,742,20,2.7,8
08-Sep-16,14:37,877,20,2.7,8
08-Sep-16,16:57,1017,20,2.5,8
08-Sep-16,19:05,1145,20,2.5,8
08-Sep-16,21:08,1268,20,1.4,8
09-Sep-16,03:50,230,20,3.6,9
09-Sep-16,06:30,390,20,2.6,9
09-Sep-16,08:59,539,20,4.7,9
09-Sep-16,11:12,672,20,4.9,9
09-Sep-16,14:40,880,20,3.6,9
09-Sep-16,16:28,988,20,2.7,9
10-Sep-16,06:52,412,20,7.4,10
10-Sep-16,09:01,541,20,4.7,10
10-Sep-16,11:20,680,66,4.1,10
10-Sep-16,13:34,814,66,3.4,10
10-Sep-16,15:36,936,66,2.5,10
10-Sep-16,17:35,1055,20,2.5,10
10-Sep-16,20:23,1223,20,2.9,10
10-Sep-16,22:36,1356,20,1.4,10
11-Sep-16,05:23,323,20,2.9,11
11-Sep-16,08:00,480,69,7,11
11-Sep-16,10:21,621,69,2.9,11
11-Sep-16,12:21,741,69,3,11
11-Sep-16,19:00,1140,37,2.5,11
11-Sep-16,21:21,1281,6,3,11
12-Sep-16,04:30,270,26,3.8,12
12-Sep-16,08:00,480,30,7.1,12
12-Sep-16,10:58,658,30,4.1,12
12-Sep-16,13:39,819,30,2.7,12
12-Sep-16,15:30,930,30,2.3,12
12-Sep-16,21:00,1260,30,2.5,12
13-Sep-16,04:45,285,30,6,13
13-Sep-16,08:03,483,30,6.9,13
13-Sep-16,10:50,650,18,3.4,13
13-Sep-16,13:12,792,20,2,13
13-Sep-16,16:30,990,20,1.2,13
13-Sep-16,18:30,1110,30,4.9,13
13-Sep-16,21:00,1260,27,2.5,13
14-Sep-16,06:15,375,30,9,14
14-Sep-16,10:00,600,30,5.1,14
14-Sep-16,13:45,825,30,3.7,14
14-Sep-16,16:10,970,30,3.7,14
14-Sep-16,18:15,1095,30,3,14
14-Sep-16,23:19,1399,30,3,14
15-Sep-16,05:44,344,30,6.8,15
15-Sep-16,09:02,542,30,5.6,15
15-Sep-16,12:05,725,30,3.6,15
15-Sep-16,15:10,910,30,3.2,15
15-Sep-16,18:03,1083,90,2.7,15
15-Sep-16,20:22,1222,90,3.6,15
16-Sep-16,04:50,290,24,7.2,16
16-Sep-16,08:10,490,24,4.7,16
16-Sep-16,20:56,1256,24,10.1,16
17-Sep-16,07:00,420,43,8.1,17
17-Sep-16,10:04,604,43,5.1,17
17-Sep-16,13:35,815,43,4.1,17
17-Sep-16,16:15,975,29,3.4,17
17-Sep-16,18:50,1130,29,3.4,17
17-Sep-16,22:04,1324,16,2.9,17
20-Sep-16,05:19,319,30,4.4,20
20-Sep-16,09:00,540,30,6.8,20
20-Sep-16,13:50,830,18,5.2,20
20-Sep-16,15:45,945,18,3.9,20
20-Sep-16,19:00,1140,18,4.1,20
20-Sep-16,22:53,1373,18,4.2,20
21-Sep-16,07:22,442,18,9.5,21
21-Sep-16,10:33,633,18,4,21
21-Sep-16,13:15,795,95,3,21
21-Sep-16,17:12,1032,95,4.1,21
21-Sep-16,21:22,1282,30,4.1,21
22-Sep-16,07:55,475,30,9.1,22
22-Sep-16,11:19,679,30,5.1,22
22-Sep-16,15:20,920,30,5.1,22
22-Sep-16,16:28,988,30,4.7,22
22-Sep-16,18:59,1139,30,4.1,22
22-Sep-16,22:32,1352,30,2,22
23-Sep-16,04:48,288,30,8.1,23
23-Sep-16,08:37,517,30,4.7,23
23-Sep-16,11:51,711,30,3.6,23
23-Sep-16,14:49,889,30,3,23
23-Sep-16,17:00,1020,28,2.4,23
23-Sep-16,19:20,1160,28,3,23
23-Sep-16,22:51,1371,28,4.4,23
24-Sep-16,06:40,400,28,7.6,24
24-Sep-16,10:34,634,28,5.7,24
24-Sep-16,15:00,900,28,5.4,24
